agency_cd,site_no,datetime,tz_cd,89062_00060,89062_00060_cd,89063_00065,89063_00065_cd
USGS,2085070,2020-11-14 00:00,EST,591,P,3.7,P
USGS,2085070,2020-11-14 00:15,EST,583,P,3.68,P
USGS,2085070,2020-11-14 00:30,EST,579,P,3.67,P
USGS,2085070,2020-11-14 00:45,EST,571,P,3.65,P
USGS,2085070,2020-11-14 01:00,EST,571,P,3.65,P
USGS,2085070,2020-11-14 01:15,EST,567,P,3.64,P
USGS,2085070,2020-11-14 01:30,EST,556,P,3.61,P
USGS,2085070,2020-11-14 01:45,EST,560,P,3.62,P
USGS,2085070,2020-11-14 02:00,EST,552,P,3.6,P
USGS,2085070,2020-11-14 02:15,EST,548,P,3.59,P
USGS,2085070,2020-11-14 02:30,EST,544,P,3.58,P
USGS,2085070,2020-11-14 02:45,EST,541,P,3.57,P
USGS,2085070,2020-11-14 03:00,EST,533,P,3.55,P
USGS,2085070,2020-11-14 03:15,EST,529,P,3.54,P
USGS,2085070,2020-11-14 03:30,EST,529,P,3.54,P
USGS,2085070,2020-11-14 03:45,EST,526,P,3.53,P
USGS,2085070,2020-11-14 04:00,EST,518,P,3.51,P
USGS,2085070,2020-11-14 04:15,EST,518,P,3.51,P
USGS,2085070,2020-11-14 04:30,EST,509,P,3.49,P
USGS,2085070,2020-11-14 04:45,EST,514,P,3.5,P
USGS,2085070,2020-11-14 05:00,EST,505,P,3.48,P
USGS,2085070,2020-11-14 05:15,EST,496,P,3.46,P
USGS,2085070,2020-11-14 05:30,EST,496,P,3.46,P
USGS,2085070,2020-11-14 05:45,EST,492,P,3.45,P
USGS,2085070,2020-11-14 06:00,EST,483,P,3.43,P
USGS,2085070,2020-11-14 06:15,EST,483,P,3.43,P
USGS,2085070,2020-11-14 06:30,EST,475,P,3.41,P
USGS,2085070,2020-11-14 06:45,EST,471,P,3.4,P
USGS,2085070,2020-11-14 07:00,EST,471,P,3.4,P
USGS,2085070,2020-11-14 07:15,EST,463,P,3.38,P
USGS,2085070,2020-11-14 07:30,EST,454,P,3.36,P
USGS,2085070,2020-11-14 07:45,EST,454,P,3.36,P
USGS,2085070,2020-11-14 08:00,EST,446,P,3.34,P
USGS,2085070,2020-11-14 08:15,EST,443,P,3.33,P
USGS,2085070,2020-11-14 08:30,EST,439,P,3.32,P
USGS,2085070,2020-11-14 08:45,EST,435,P,3.31,P
USGS,2085070,2020-11-14 09:00,EST,431,P,3.3,P
USGS,2085070,2020-11-14 09:15,EST,423,P,3.28,P
USGS,2085070,2020-11-14 09:30,EST,419,P,3.27,P
USGS,2085070,2020-11-14 09:45,EST,419,P,3.27,P
USGS,2085070,2020-11-14 10:00,EST,412,P,3.25,P
USGS,2085070,2020-11-14 10:15,EST,412,P,3.25,P
USGS,2085070,2020-11-14 10:30,EST,404,P,3.23,P
USGS,2085070,2020-11-14 10:45,EST,401,P,3.22,P
USGS,2085070,2020-11-14 11:00,EST,401,P,3.22,P
USGS,2085070,2020-11-14 11:15,EST,393,P,3.2,P
USGS,2085070,2020-11-14 11:30,EST,386,P,3.18,P
USGS,2085070,2020-11-14 11:45,EST,386,P,3.18,P
USGS,2085070,2020-11-14 12:00,EST,383,P,3.17,P
USGS,2085070,2020-11-14 12:15,EST,375,P,3.15,P
USGS,2085070,2020-11-14 12:30,EST,371,P,3.14,P
USGS,2085070,2020-11-14 12:45,EST,367,P,3.13,P
USGS,2085070,2020-11-14 13:00,EST,359,P,3.11,P
USGS,2085070,2020-11-14 13:15,EST,363,P,3.12,P
USGS,2085070,2020-11-14 13:30,EST,359,P,3.11,P
USGS,2085070,2020-11-14 13:45,EST,355,P,3.1,P
USGS,2085070,2020-11-14 14:00,EST,355,P,3.1,P
USGS,2085070,2020-11-14 14:15,EST,348,P,3.08,P
USGS,2085070,2020-11-14 14:30,EST,344,P,3.07,P
USGS,2085070,2020-11-14 14:45,EST,340,P,3.06,P
USGS,2085070,2020-11-14 15:00,EST,337,P,3.05,P
USGS,2085070,2020-11-14 15:15,EST,337,P,3.05,P
USGS,2085070,2020-11-14 15:30,EST,333,P,3.04,P
USGS,2085070,2020-11-14 15:45,EST,326,P,3.02,P
USGS,2085070,2020-11-14 16:00,EST,326,P,3.02,P
USGS,2085070,2020-11-14 16:15,EST,322,P,3.01,P
USGS,2085070,2020-11-14 16:30,EST,319,P,3.0,P
USGS,2085070,2020-11-14 16:45,EST,319,P,3.0,P
USGS,2085070,2020-11-14 17:00,EST,315,P,2.99,P
USGS,2085070,2020-11-14 17:15,EST,308,P,2.97,P
USGS,2085070,2020-11-14 17:30,EST,308,P,2.97,P
USGS,2085070,2020-11-14 17:45,EST,305,P,2.96,P
USGS,2085070,2020-11-14 18:00,EST,305,P,2.96,P
USGS,2085070,2020-11-14 18:15,EST,305,P,2.96,P
USGS,2085070,2020-11-14 18:30,EST,298,P,2.94,P
USGS,2085070,2020-11-14 18:45,EST,298,P,2.94,P
USGS,2085070,2020-11-14 19:00,EST,292,P,2.92,P
USGS,2085070,2020-11-14 19:15,EST,292,P,2.92,P
